"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","bMinus","bPlus","e"
"89","Camarena","2",TRUE,"SiemannDelius",0.692172269061479,FALSE,2.38912093856523,2.63810152694158,0.09319203268424
"90","HumScrm","33",TRUE,"SiemannDelius",0.69565628505019,FALSE,0.851232320932708,0.38978068731757,0.282586570792015
"91","HumScrm","34",TRUE,"SiemannDelius",0.540771018686857,FALSE,1.49309401801714,1.50041564512062,1.50362902304156
"92","HumScrm","35",TRUE,"SiemannDelius",0.687018188519287,FALSE,0.636066456227979,0.292025737740694,0.513789400706546
"93","HumScrm","36",TRUE,"SiemannDelius",0.669869345407146,FALSE,1.5858216241105,0.401683469894375,0.20216323218844
"94","HumScrm","37",TRUE,"SiemannDelius",0.662966025420037,FALSE,0.421609496547008,0.276034987160275,0.590863612851289
"95","HumScrm","38",TRUE,"SiemannDelius",0.724445490748778,FALSE,1.03841218881048,0.40661352808506,0.310162800564254
"96","HumScrm","39",TRUE,"SiemannDelius",0.710196772082861,FALSE,1.12499163316082,0.380020291093216,0.272692403510059
"97","HumScrm","40",TRUE,"SiemannDelius",0.825600537224079,FALSE,2.01344496748756,0.47737455495936,0.135219792750374
"98","RGMDL2","4",TRUE,"SiemannDelius",0.856399228799936,FALSE,1.72950654658582,1.03687313899074,1.58176451093572
"99","HumScrm","41",TRUE,"SiemannDelius",0.900385093623335,FALSE,2.17680879271724,0.224067861239973,0.257101200961556
"100","HumScrm","42",TRUE,"SiemannDelius",0.692896744779995,FALSE,0.936214505913211,0.421006839095757,0.271597713353858
"101","HumScrm","43",TRUE,"SiemannDelius",0.69035114043139,FALSE,0.594650837659808,0.378122559322049,0.355278517054437
"102","HumScrm","44",TRUE,"SiemannDelius",0.679095351654587,FALSE,0.459709198952155,0.229325497717878,0.529148621700113
"103","HumScrm","45",TRUE,"SiemannDelius",0.667257372323602,FALSE,0.719880551481746,0.397710408086739,0.247057196812105
"104","HumScrm","46",TRUE,"SiemannDelius",0.555489103912969,FALSE,1.38072120520463,1.19403490829361,0.687122127084576
"105","HumScrm","47",TRUE,"SiemannDelius",0.684861009375209,FALSE,0.589626951816184,0.346947107251062,0.367554428499905
"106","HumScrm","48",TRUE,"SiemannDelius",0.545723673240342,FALSE,0.406263347713842,0.640560223230605,0.365599346394496
"107","HumScrm","49",TRUE,"SiemannDelius",0.522725009267139,FALSE,0.907155894557106,0.612718165498704,0.517550158371585
"108","HumScrm","50",TRUE,"SiemannDelius",0.69652024635187,FALSE,0.538266921475477,0.322836979021481,0.423301809259432
"109","HumScrm","51",TRUE,"SiemannDelius",0.686519800494346,FALSE,0.832078331229712,0.416952070313906,0.295840458529367
"110","HumScrm","52",TRUE,"SiemannDelius",0.609367542946063,FALSE,0.463158376886712,0.362737559544458,0.380469663177591
