"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a","b","t"
"107","HumScrm","27",TRUE,"VTTBS",0.554682743434646,FALSE,0.975438962964229,1.5586471304951,0.355514125418649
"108","HumScrm","28",TRUE,"VTTBS",0.502264976380377,FALSE,0.236067096053839,0.734476718905319,0.061492255809881
"109","HumScrm","29",TRUE,"VTTBS",0.545371517092239,FALSE,1.3848960110861,1.59497727343979,1.40465498295263
"110","HumScrm","30",TRUE,"VTTBS",0.542416756935588,FALSE,0.867723155607684,1.73773222207938,0.433040142976756
"111","HumScrm","31",TRUE,"VTTBS",0.572724898134556,FALSE,0.857091578614351,1.69705330595602,0.596294814822005
"112","HumScrm","32",TRUE,"VTTBS",0.554050047822209,FALSE,1.26667341601377,0.508193745111382,1.58748325834028
"113","HumScrm","33",TRUE,"VTTBS",0.515387655101199,FALSE,0.640929171949726,1.81752312514406,-0.514723537364475
"114","HumScrm","34",TRUE,"VTTBS",0.512282695423776,FALSE,0.540133422312251,1.63912050983961,0.175574383463021
"115","HumScrm","35",TRUE,"VTTBS",0.51659986152278,FALSE,0.369651402949048,1.646732783865,0.37583881073304
"116","HumScrm","36",TRUE,"VTTBS",0.544654599413192,FALSE,0.827514282741062,2.22408983689476,0.663479782500408
"117","HumScrm","37",TRUE,"VTTBS",0.550725805460302,FALSE,0.508259968838606,1.616161891657,-1.98295253156476
"118","HumScrm","38",TRUE,"VTTBS",0.537123161600778,FALSE,0.851807643998768,1.54040135147141,0.256074048423983
"119","HumScrm","39",TRUE,"VTTBS",0.527084823310859,FALSE,0.500032073711759,2.06645680817187,0.694258713227825
"120","HumScrm","40",TRUE,"VTTBS",0.52487882473527,FALSE,0.396457534319664,1.83707784074363,0.29379521041869
"121","HumScrm","41",TRUE,"VTTBS",0.501013268621642,FALSE,0.158520240586,0.542203919210894,0.149951489674099
"122","HumScrm","42",TRUE,"VTTBS",0.507849904617611,FALSE,0.248815778983931,1.72631292051123,0.455581478944628
"123","HumScrm","43",TRUE,"VTTBS",0.601522524816164,FALSE,2.80929715128689,1.83398300813495,0.088784123661345
"124","HumScrm","44",TRUE,"VTTBS",0.565218865859124,FALSE,1.44767800297491,0.322567358446894,0.752867385541461
"125","HumScrm","45",TRUE,"VTTBS",0.554854907776972,FALSE,0.979755533982167,1.78207647257108,0.475726015915507
"126","HumScrm","46",TRUE,"VTTBS",0.528946789423972,FALSE,0.717436003828533,1.78209869129545,0.40761721649413
"127","HumScrm","47",TRUE,"VTTBS",0.521298296073553,FALSE,0.741502936440066,1.77480340657018,0.097445807592283
"128","HumScrm","48",TRUE,"VTTBS",0.526913917143736,FALSE,0.488621660142423,1.6880570094543,-0.601364916205662
"129","HumScrm","49",TRUE,"VTTBS",0.541762434183235,FALSE,0.846202019473436,0.701768709930589,1.95644492589677
"130","HumScrm","50",TRUE,"VTTBS",0.55481814674151,FALSE,1.09476978822528,1.91226701989432,0.293542519565161
"131","HumScrm","51",TRUE,"VTTBS",0.549626568458202,FALSE,2.19523989683297,1.29802435918915,1.69799216341901
"132","HumScrm","52",TRUE,"VTTBS",0.525781471519391,FALSE,0.507827155934967,2.24682259254861,0.135505417967115
"133","HumScrm","53",TRUE,"VTTBS",0.536317485324983,FALSE,0.997382315265312,1.50435706161025,0.44908979988802
"134","HumScrm","54",TRUE,"VTTBS",0.533071350097735,FALSE,0.979443288133894,1.51697293627759,1.64087601959694
"135","HumScrm","55",TRUE,"VTTBS",0.503849697990768,FALSE,0.39837312959875,0.793603569332217,-0.110624926547954
"136","HumScrm","56",TRUE,"VTTBS",0.50060779124922,FALSE,0.507576581839014,0.501904334027697,1.49993615802569
"137","HumScrm","57",TRUE,"VTTBS",0.557730858174074,FALSE,1.26091267679999,0.165977174887978,1.51705140193221
"138","HumScrm","58",TRUE,"VTTBS",0.55294779637847,FALSE,0.842175816197591,1.94423004894582,0.026832030139098
"139","HumScrm","59",TRUE,"VTTBS",0.531514011518193,FALSE,1.46760270205058,1.6690985549878,0.607459740434474
"140","HumScrm","60",TRUE,"VTTBS",0.50340183514704,FALSE,0.487622146357615,0.916843857175647,-0.267868454222386
"141","HumScrm","61",TRUE,"VTTBS",0.504422100515399,FALSE,0.665341210062854,0.725253373105945,1.74788056530077
"142","HumScrm","62",TRUE,"VTTBS",0.512102077810372,FALSE,0.344034879205483,1.61665296410115,0.448648764496565
"143","HumScrm","63",TRUE,"VTTBS",0.504422100515399,FALSE,0.665341210062854,0.725253373105945,1.74788056530077
"144","HumScrm","64",TRUE,"VTTBS",0.55481814674151,FALSE,1.09476978822528,1.91226701989432,0.293542519565161
"145","HumScrm","65",TRUE,"VTTBS",0.558391216406059,FALSE,2.14857331800029,1.29483002432713,-0.219890842430369
"146","HumScrm","66",TRUE,"VTTBS",0.506898048096635,FALSE,0.279954742679041,1.10882124718766,-0.183319808454049
"147","HumScrm","67",TRUE,"VTTBS",0.527864926783352,FALSE,1.44247753286722,2.25707986472121,-0.457471229066139
"148","HumScrm","68",TRUE,"VTTBS",0.545916153571841,FALSE,1.51320838675436,1.5525664081639,-0.548052146865524
"149","HumScrm","69",TRUE,"VTTBS",0.549939583626402,FALSE,0.978687332579896,1.80618726605121,-0.002931959122905
"150","HumScrm","70",TRUE,"VTTBS",0.531243144885031,FALSE,1.82528528357759,1.58236680771031,-0.934033875719129
"151","HumScrm","71",TRUE,"VTTBS",0.503365608215894,FALSE,0.194600587004706,0.555418944559664,0.116689884376351
"152","HumScrm","72",TRUE,"VTTBS",0.554838319311098,FALSE,0.67408656519585,2.59628493518668,-0.266570864372005
"153","HumScrm","73",TRUE,"VTTBS",0.535511541522436,FALSE,0.994022120184432,1.56328595113662,0.455988261143054
"154","HumScrm","74",TRUE,"VTTBS",0.538563329208113,FALSE,2.23312344573675,2.03626540249724,1.08245427666875
"155","HumScrm","75",TRUE,"VTTBS",0.520849593559551,FALSE,0.369678177297686,2.35199279816651,-0.36036790751068
"156","HumScrm","76",TRUE,"VTTBS",0.520222727070303,FALSE,0.744986715530088,1.57773535284898,0.482243506901379
"157","HumScrm","77",TRUE,"VTTBS",0.55568257103025,FALSE,1.69564755245012,1.34521931977571,0.319601673229341
"158","RGMDL1","1",TRUE,"VTTBS",0.509338668640674,FALSE,0.889652896216614,1.8781079713329,0.19872133542229
"159","RGMDL1","2",TRUE,"VTTBS",0.500011388681828,FALSE,0.042958982957452,0.538756749573945,0.361406109970245
"160","RGMDL1","3",TRUE,"VTTBS",0.58228553011364,FALSE,-1.06313408564211,1.22762081912381,1.52831985286604
"161","RGMDL1","4",TRUE,"VTTBS",0.514069009291065,FALSE,0.837532028547971,1.70674748394375,0.536361886555418
