source,species,id,onlyTrainingOptimization,model,performance,adaptModelInTesting,parameter1,value1,parameter2,value2,parameter3,value3
HumScrm,humans,25,True,RLELO_F,0.790137401037249,False,a ,1.78900795019843, b ,2.6854035061655, s ,0.036226174715713
HumScrm,humans,25,False,RLELO_F,0.790137401037249,False,a ,1.78900795019843, b ,2.6854035061655, s ,0.036226174715713
HumScrm,humans,26,True,RLELO_F,0.605383532862541,False,a ,1.59853649935032, b ,0.364291118956076, s ,0.670796116627662
RGMDL3,macaques,3,True,RLELO_F,0.63785650984747,False,a ,2.64200917265469, b ,0.759834441816065, s ,0.051509498080429
HumScrm,humans,26,False,RLELO_F,0.605383532862541,False,a ,1.59853649935032, b ,0.364291118956076, s ,0.670796116627662
Camarena,pigeons,8,False,RLELO_F,0.784936875298559,False,a ,2.37783097674857, b ,1.63622186490809, s ,0.402537588249089
HumScrm,humans,27,True,RLELO_F,0.879167513181691,False,a ,2.84829400175702, b ,3.00170425127854, s ,0.054359882613801
HumScrm,humans,27,False,RLELO_F,0.888235129995294,False,a ,2.1629449417424, b ,2.09605975441742, s ,-0.237335219195888
RGMDL3,macaques,3,False,RLELO_F,0.684076435482008,False,a ,2.82761629155386, b ,1.08467680097309, s ,0.027754433989901
HumScrm,humans,28,True,RLELO_F,0.954153079970474,False,a ,2.91148602831952, b ,2.12765354965835, s ,0.016883270056781
RGMDL1,macaques,1,False,RLELO_F,0.628907596479847,False,a ,1.961690263654, b ,0.823232437866789, s ,-0.000174444422682
HumScrm,humans,28,False,RLELO_F,0.864769936521826,False,a ,2.73008701142028, b ,0.4997571056679, s ,-0.814078253088571
HumScrm,humans,29,True,RLELO_F,0.88868061998746,False,a ,2.81627615356241, b ,1.51362701142557, s ,-0.070138439916563
FHL,macaques,3,False,RLELO_F,0.628393400421561,False,a ,2.44239845260131, b ,1.72412756036224, s ,1.55716550506098
HumScrm,humans,29,False,RLELO_F,0.898200296503547,False,a ,2.51898623407827, b ,2.38444272100846, s ,-0.077811452337659
HumScrm,humans,30,True,RLELO_F,0.902502354399063,False,a ,2.80829864286026, b ,2.83140999969205, s ,0.102762720013767
HumScrm,humans,30,False,RLELO_F,0.902502354399063,False,a ,2.80829864286026, b ,2.83140999969205, s ,0.102762720013767
HumScrm,humans,31,True,RLELO_F,0.91314333687215,False,a ,2.93457102871553, b ,2.57765497265777, s ,0.002986331727413
Camarena,pigeons,9,False,RLELO_F,0.725750657959531,False,a ,0.54525044572395, b ,0.399605228841806, s ,-0.58389014997797
HumScrm,humans,31,False,RLELO_F,0.91314333687215,False,a ,2.93457102871553, b ,2.57765497265777, s ,0.002986331727413
HumScrm,humans,32,True,RLELO_F,0.829094780918261,False,a ,2.05296005706004, b ,1.20102313798298, s ,0.13395428693337
HumScrm,humans,32,False,RLELO_F,0.829094780918261,False,a ,2.05296005706004, b ,1.20102313798298, s ,0.13395428693337
HumScrm,humans,33,True,RLELO_F,0.91305799955754,False,a ,3.15909092263401, b ,2.33520323353474, s ,0.0194168287435
HumScrm,humans,33,False,RLELO_F,0.91305799955754,False,a ,3.15909092263401, b ,2.33520323353474, s ,0.0194168287435
RGMDL2,macaques,2,False,RLELO_F,0.878512588605159,False,a ,2.90575737645596, b ,1.79533567045325, s ,-0.012567058500319
HumScrm,humans,34,True,RLELO_F,0.544008938203058,False,a ,1.62654746960846, b ,1.24120824013465, s ,1.68743790613902
RGMDL3,macaques,4,True,RLELO_F,0.721402702389756,False,a ,2.97546253732359, b ,1.31857733596149, s ,-0.008830320918813
HumScrm,humans,34,False,RLELO_F,0.544008938203058,False,a ,1.62654746960846, b ,1.24120824013465, s ,1.68743790613902
HumScrm,humans,35,True,RLELO_F,0.893515432838722,False,a ,2.59181486217054, b ,2.42917389101288, s ,0.076870108130567
Camarena,pigeons,10,False,RLELO_F,0.774403810442474,False,a ,2.59359541900708, b ,1.05855157854023, s ,0.149527528952336
HumScrm,humans,35,False,RLELO_F,0.893515432838722,False,a ,2.59181486217054, b ,2.42917389101288, s ,0.076870108130567
HumScrm,humans,36,True,RLELO_F,0.735781059160543,False,a ,2.55687664314208, b ,2.64358764936085, s ,0.020976914362012
RGMDL3,macaques,4,False,RLELO_F,0.753523291610349,False,a ,3.23540682162944, b ,0.91206273807205, s ,0.031766637547075
HumScrm,humans,36,False,RLELO_F,0.735781059160543,False,a ,2.55687664314208, b ,2.64358764936085, s ,0.020976914362012
FHL,macaques,1,False,RLELO,0.66365658832494,False,a ,6.19475552365815, b ,5.30181937398188,,
HumScrm,humans,37,True,RLELO_F,0.824389871625779,False,a ,2.71097536476701, b ,1.88919661700463, s ,-0.287102665365159
HumScrm,humans,37,False,RLELO_F,0.814579168194603,False,a ,2.6980793223729, b ,1.93319940347837, s ,-0.277699229660092
HumScrm,humans,38,True,RLELO_F,0.924097813998875,False,a ,2.24705585917236, b ,1.88383320672492, s ,-0.061689892865955
HumScrm,humans,38,False,RLELO_F,0.924097813998875,False,a ,2.24705585917236, b ,1.88383320672492, s ,-0.061689892865955
HumScrm,humans,39,True,RLELO_F,0.908072256617915,False,a ,2.56880387973492, b ,2.01950311186565, s ,-0.07004069934386
HumScrm,humans,39,False,RLELO_F,0.908072256617915,False,a ,2.56880387973492, b ,2.01950311186565, s ,-0.07004069934386
Camarena,pigeons,11,False,RLELO_F,0.754728675689068,False,a ,1.5, b ,1.5, s ,0.5
RGMDL3,macaques,1,True,RLELO,0.635395239602317,False,a ,5.36635904563081, b ,6.13853980997786,,
